Strain Name,Strain Type,Vendor Description (from PRODUCTS),Trusted Description (fill gaps),Description Source / Citation,Dominant Terpenes,Common Effects,Flavor / Aroma,Lineage / Genetics,Notes
Shirley Temple,Indica,"A gourmet chef-inspired gummy imagined with island-grown cane sugar, orchard fruit, and the kind of small-batch technique usually reserved for handmade luxury candies. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBN to help you relax and ease into rest in a 1:1:1 ratio. The flavor does the inviting, and the cannabis infusion follows with a smooth finish.",,,,,,,
Shiva's Nectar,Hybrid,"Shiva's Nectar is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Shortbread,Hybrid,"Shortbread is a hybrid pre-roll with notes of chestnut, violet, and lavender, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Shot Mixed Berry MAX Elevate,,,,,,,,,
Silver Spoon,,,,,,,,,
SilverFace,Hybrid,"A hybrid oil pod loaded with SilverFace, built to click into its matching battery for clean, consistent, no-mess vaping. Clean, sealed, and smooth — a balanced, sweet-earthy profile, with a balanced head-and-body experience.",,,,,,,
Sin Soda,Hybrid,"Sin Soda is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Skatalite,Hybrid,"Skatalite is a hybrid blunt with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Skunk Cookies,Hybrid,"Ready-to-spark hybrid infused pre-roll of Skunk Cookies, enhanced with concentrate for smoother, slower burning and a serious step up in strength. Built for a stronger, longer session and more intense effects — a pungent, classic skunk flavor, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Skunk GMO,Hybrid,"Skunk GMO is a hybrid blunt with a pungent, classic skunk flavor and balanced, well-rounded effects.",,,,,,,
Slapple,Hybrid,"This hybrid disposable carries Slapple in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, a crisp, sweet apple flavor, leading into a smooth, well-rounded vibe.",,,,,,,
SlapZ,,,,,,,,,
Sleepen,,,,,,,,,
Sleigh Ride,Hybrid,"A hybrid vape cartridge filled with Sleigh Ride oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — a balanced, sweet-earthy profile, with a balanced head-and-body experience.",,,,,,,
Slippery Pear,Hybrid,"A convenient hybrid cartridge carrying Slippery Pear's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, a balanced, sweet-earthy profile, delivering a versatile, anytime balance.",,,,,,,
Slumberberry,Hybrid,"A mouth-watering sweet, ripe berry infused treat with candy-kitchen charm and a smooth cannabis experience tucked into every serving. Expect a smooth hybrid edible experience — give it time to bloom before taking more.",,,,,,,
Slurlato,Hybrid,"Solventless hybrid rosin pressed from Slurlato using nothing but heat and pressure, squeezing fragrant oil straight from the flower — no chemicals, ever. Expect a balanced, sweet-earthy profile, a rich terpene punch, and a versatile, anytime balance.",,,,,,,
Slurricane,Indica,"Portable indica vape cart of Slurricane, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Flavor on the go, with notes of berry, pepper, and flowery, leading into deep, easygoing relaxation.",,,,,,,
Slushee,Hybrid,"Slushee is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Slutz,,,,,,,,,
Smackerz,Hybrid,"Smackerz is a hybrid pre-roll with notes of diesel, grape, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Smackles,Hybrid,"This hybrid cartridge loads Smackles into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — a sweet, citrus-earthy, creamy aroma with a balanced, euphoric feel, with a versatile, anytime balance.",,,,,,,
Smores,Hybrid,"Luxurious chocolate made for slow savoring — deep cocoa, soft sweetness, and a cannabis infusion blended into the recipe like a secret ingredient passed down for generations. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Snickerdoodle,Hybrid,"A gourmet-style chef-inspired treat with imaginative flavor, balanced sweetness, and a clean infused finish. It features THC for a classic euphoric lift. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Snoop's Dream,Hybrid,"A hybrid pre-roll of Snoop's Dream supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Boosted for extra strength and more intense effects — with notes of pine, earthy, and sweet, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Snow Break,Hybrid,"A hybrid infused joint built on Snow Break and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Snow Cone,Hybrid,"A hybrid vape cartridge filled with Snow Cone oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of diesel, vanilla, and earthy, with an even, best-of-both-worlds feel.",,,,,,,
Snowcaine,Hybrid,"Snowcaine is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Snowman Cookies,Hybrid,"Snowman Cookies is a hybrid pre-roll with notes of vanilla, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
SoDo GMO,Hybrid,"This hybrid rosin is the connoisseur's clean dab: SoDo GMO coaxed into honey-gold oil by heat and pressure alone, with nothing washed out and nothing added in. A premium solventless experience, a balanced, sweet-earthy profile, delivering a balanced head-and-body experience.",,,,,,,
Solace,Hybrid,A soothing cannabis-infused topical you apply right where you want it — great for targeted comfort in muscles and joints. Non-intoxicating and easy to use.,,,,,,,
Sonic Sorbet,,,,,,,,,
Sootheberry,Hybrid,"A mouth-watering sweet, ripe berry infused treat with candy-kitchen charm and a smooth cannabis experience tucked into every serving. Made to help you relax and find your calm.",,,,,,,
Souped Up,Hybrid,"This infused hybrid pre-roll wraps Souped Up flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a balanced head-and-body experience. A little goes a long way.",,,,,,,
Sour Apple,Hybrid,"An artisan crisp, sweet apple edible made to feel special — rich flavor, soft sweetness, and a cannabis finish that stays smooth and approachable. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Sour Beltz,Hybrid,"A hybrid blunt of Sour Beltz taken up a level with concentrate — flower plus potent extract rolled together for a bold, slow-burning, full-flavored smoke. More potent than flower alone, with more intense effects — with notes of blue cheese, blueberry, and berry, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Sour Blackberry,,,,,,,,,
Sour Blue Mintz,Hybrid,"This infused hybrid pre-roll wraps Sour Blue Mintz flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — a cool, refreshing mint flavor, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Sour Blue Raspberry,Hybrid,"A small-batch sweet, tart raspberry edible inspired by old family recipes, fancy sugar, and the kind of flavor people talk about after the first bite. A flavorful hybrid option for customers who want their cannabis wrapped in something genuinely craveable.",,,,,,,
Sour Blueberry,Hybrid,"Portable hybrid vape cart of Sour Blueberry, dialed in for smooth flavor and easy dosing whenever and wherever you want it. Smooth, discreet, and flavorful — with notes of blueberry, diesel, and berry, with an even, best-of-both-worlds feel.",,,,,,,
Sour Bomb,Hybrid,"Strain-true hybrid live resin from Sour Bomb: fresh-frozen flower preserves the brightest, gassiest, most aromatic terpenes for a rich, full-spectrum dab. Full-spectrum and bursting with terps, a tangy, mouth-watering sour flavor, delivering a balanced head-and-body experience.",,,,,,,
Sour Cherries,Hybrid,"This infused hybrid pre-roll wraps Sour Cherries flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of apple, berry, and diesel, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
Sour Cherry,Hybrid,"These sweet, ripe cherry gummies taste like they came from a secret candy kitchen: slow-set, fruit-forward, and infused evenly for a smooth edible experience. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Sour D,Hybrid,"Solventless hybrid bubble hash from Sour D — ice-water washed and sifted through micron mesh bags to collect pristine, trichome-rich resin heads, no chemicals at all. Pure trichome craft, with notes of diesel, leading into an even, best-of-both-worlds feel.",,,,,,,
Sour Diesel,Hybrid,"Sour Diesel is a hybrid pre-roll with notes of diesel, chemical, and skunk, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sour face,Hybrid,"Sour face is a hybrid flower with notes of pine, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sour Fruit,Hybrid,"Solventless hybrid rosin pressed from Sour Fruit using nothing but heat and pressure, squeezing fragrant oil straight from the flower — no chemicals, ever. A premium solventless experience, a tangy, mouth-watering sour flavor, delivering a smooth, well-rounded vibe.",,,,,,,
Sour GAK,Hybrid,"Effortless hybrid disposable vape of Sour GAK — fully charged out of the box, dialed in for smooth flavor and total convenience. Zero setup, all flavor — a tangy, mouth-watering sour flavor, with a balanced head-and-body experience.",,,,,,,
Sour Grape,Hybrid,"A boutique infused beverage with sweet, candy-like grape notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. It blends THC for a classic euphoric lift and CBN to help you relax and ease into rest. Made to help you relax and find your calm.",,,,,,,
Sour Green Apple 1:1,,,,,,,,,
Sour Green Apple CBG:THC,,,,,,,,,
Sour Green Apple MAX shot 1:1 thc:cbg,,,,,,,,,
Sour Guava Live Resin,Hybrid,"Tender sweet tropical guava chews made for serious snack lovers — bold fruit, candy-shop texture, and a clean cannabis infusion in every piece. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Sour Gum,Hybrid,"Classic hybrid BHO crafted from Sour Gum — hydrocarbon-extracted, fully purged, and dense with cannabinoids for an efficient, hard-hitting dab. Potent, clean, and lab-tested — a tangy, mouth-watering sour flavor, with a versatile, anytime balance.",,,,,,,
Sour Jack,Sativa,"Sour Jack is a sativa pre-roll with notes of citrus, diesel, and lemon, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Sour Jamberry CBN:THC,Hybrid,"Soft, nostalgic chews with a caramel-shop texture, handmade-candy energy, and a smooth cannabis infusion blended right into the recipe. It features CBN to help you relax and ease into rest. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Sour Kush,Hybrid,"Sour Kush is a hybrid flower with notes of pungent, diesel, and citrus, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sour Lemon Drop,Hybrid,"A hybrid infused joint built on Sour Lemon Drop and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a bright, zesty lemon flavor, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Sour Mango Sativa,Hybrid,"These bright, juicy mango chews feel like a 100-year-old family candy recipe upgraded for the cannabis era: soft, bright, and irresistibly flavorful. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Sour Mintz,Hybrid,"Double-refined hybrid hash rosin from Sour Mintz — washed, sifted, and cold-pressed with zero solvents, sitting right at the peak of the solventless pyramid. The cleanest expression of the strain — a cool, refreshing mint flavor, with an even, best-of-both-worlds feel.",,,,,,,
Sour OG,Hybrid,"A hybrid vape cartridge filled with Sour OG oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, with notes of diesel, pungent, and earthy, delivering a balanced head-and-body experience.",,,,,,,
Sour Raspberry 2:1 CBC,,,,,,,,,
Sour Strawberry,Hybrid,"These sweet, juicy strawberry gummies taste like they came from a secret candy kitchen: slow-set, fruit-forward, and infused evenly for a smooth edible experience. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 50:1 ratio. Built for slow enjoyment: big flavor first, smooth cannabis finish after.",,,,,,,
Sour Tangerine,,,,,,,,,
Sour Tangie,Sativa,"Sour Tangie is a sativa pre-roll with notes of citrus, orange, and diesel, with a sweet, citrusy flavor with a zesty kick. Expect uplifting, energizing head buzz.",,,,,,,
Sour Tropical,Hybrid,"A chef-inspired tropical-fruit edible with dessert-counter personality, smooth sweetness, and a carefully blended cannabis infusion. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. A craveable infused treat that feels right at home next to the best sweets on the shelf.",,,,,,,
Sour Tsunami,,,,,,,,,
Sour Watermelon,Hybrid,"A boutique infused beverage with sweet, refreshing watermelon notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. It blends THC for a classic euphoric lift and CBG to support daytime focus and clarity. For an uplifting, energetic experience.",,,,,,,
Sour Watermelon CBN 1:1,,,,,,,,,
Sour Watermelon Live Resin Indica,,,,,,,,,
Sour Watermelonade,Hybrid,"A grab-and-go hybrid disposable of Sour Watermelonade, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, a sweet, refreshing watermelon flavor, leading into a balanced head-and-body experience.",,,,,,,
Sour ZkittleZ,,,,,,,,,
Space Lemons,,,,,,,,,
Space OG,Hybrid,"Space OG is a hybrid flower with a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel.",,,,,,,
Spearmint,Hybrid,"A refined infused mint made for fresh flavor and low-key convenience, with a confectionery finish that feels more boutique than basic. Made for anyone who wants their edible to feel less like a dose and more like a little indulgence.",,,,,,,
Specimen X,Hybrid,"A hybrid pre-roll of Specimen X supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with an even, best-of-both-worlds feel. A little goes a long way.",,,,,,,
spiced apple,Hybrid,"A lively crisp, sweet apple beverage with farmers-market fruit energy, balanced sweetness, and cannabis blended in for a relaxed, drinkable experience. Sip slowly and let the hybrid infusion settle in at its own pace.",,,,,,,
Spooky Z,Hybrid,"A grab-and-go hybrid disposable of Spooky Z, the simplest way to vape: flavorful, portable, and zero setup required. Zero setup, all flavor — a balanced, sweet-earthy profile, with a smooth, well-rounded vibe.",,,,,,,
Spray Tan,Hybrid,"Spray Tan is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Sprinkles,Hybrid,"Sprinkles is a hybrid flower with notes of pineapple, berry, and butter, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Spritzer,Hybrid,"Spritzer is a hybrid pre-roll with notes of apricot, grapefruit, and ammonia, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Squeaky Clean,Hybrid,"A hybrid infused joint built on Squeaky Clean and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a versatile, anytime balance. Pace yourself.",,,,,,,
Squeezy,Hybrid,"An all-in-one hybrid disposable vape preloaded with Squeezy oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Zero setup, all flavor — with notes of blueberry, with a versatile, anytime balance.",,,,,,,
SR-71,Hybrid,"Sr-71 is a hybrid pre-roll with notes of chestnut, vanilla, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Star Pebbles,Hybrid,"Star Pebbles is a hybrid flower with notes of blue cheese and cheese, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Stardawg Inferno,Sativa,"Aromatic sativa live resin pressed from fresh-frozen Stardawg Inferno, the sweet spot of flavor, potency, and that 'just-harvested' terpene rush. Bright, layered, and strain-expressive, bright, citrusy-spicy notes, leading into a clear, creative buzz.",,,,,,,
Starfruit,Hybrid,"A boutique infused beverage with mixed-fruit notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. A refreshing hybrid option for customers who prefer their cannabis in a drinkable format.",,,,,,,
Starkiller,Hybrid,"This infused hybrid pre-roll wraps Starkiller flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. More potent than flower alone, with more intense effects — a balanced, sweet-earthy profile, delivering a balanced head-and-body experience. Pace yourself.",,,,,,,
Stem Cell,Hybrid,"A potent, full-spectrum Rick Simpson Oil (RSO) that captures the whole plant's cannabinoids and terpenes in a thick, concentrated extract. Versatile — take it on its own, under the tongue, or add it to food. Extremely potent, so start with a tiny amount (about a quarter grain of rice) and go slow.",,,,,,,
Sticky Buns,Hybrid,"A hybrid pre-roll of Sticky Buns supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. More potent than flower alone, with more intense effects — with notes of nutty, vanilla, and butter, delivering an even, best-of-both-worlds feel. Pace yourself.",,,,,,,
Sticky S'mores,Hybrid,"A hybrid infused joint built on Sticky S'mores and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Built for a stronger, longer session and more intense effects — a balanced, sweet-earthy profile, with a versatile, anytime balance. A little goes a long way.",,,,,,,
Stoopid Gas,Hybrid,"This hybrid disposable carries Stoopid Gas in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, a pungent fuel flavor, leading into a smooth, well-rounded vibe.",,,,,,,
Storm Wigeon,,,,,,,,,
Strawberrry Lemonade,Sativa,"A sativa infused joint built on Strawberrry Lemonade and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. Boosted for extra strength and more intense effects — with notes of lemon, strawberry, and rose, with a bright, heady lift. A little goes a long way.",,,,,,,
Strawberry,Sativa,"A grab-and-go sativa disposable of Strawberry, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, with notes of strawberry, sweet, and berry, leading into an upbeat, talkative energy.",,,,,,,
Strawberry Banana,Hybrid,"A hybrid vape cartridge filled with Strawberry Banana oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, with notes of strawberry, tree fruit, and tropical, delivering a balanced head-and-body experience.",,,,,,,
Strawberry Banana Zkittles,Hybrid,"Hand-pressed hybrid rosin from Strawberry Banana Zkittles — solventless, full-spectrum, and prized by flavor chasers for a taste that stays honest to the living bud. Flavor-forward and full-spectrum, a sweet, juicy strawberry flavor, leading into a balanced head-and-body experience.",,,,,,,
Strawberry Bliss,Hybrid,"This hybrid disposable carries Strawberry Bliss in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Grab-and-go convenience, with notes of strawberry, blue cheese, and cheese, delivering a versatile, anytime balance.",,,,,,,
Strawberry Bubbles,Sativa,"Solventless sativa bubble hash from Strawberry Bubbles — ice-water washed and sifted through micron mesh bags to collect pristine, trichome-rich resin heads, no chemicals at all. Clean, washed, and potent, with notes of strawberry, berry, and mango, delivering an active, daytime spark.",,,,,,,
strawberry candy,Hybrid,"Strawberry Candy is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Strawberry Cheesecake,Indica,"A potent indica butane hash oil from Strawberry Cheesecake, extracted in a sealed closed-loop system by licensed techs and carefully purged to lab-tested purity. Potent, clean, and lab-tested — with notes of cheese, strawberry, and butter, with deep, easygoing relaxation.",,,,,,,
Strawberry Cooler,,,,,,,,,
Strawberry Cough,Sativa,"This sativa disposable carries Strawberry Cough in a ready-to-go pen with the battery built right in — grab it, hit it, recycle it when it's done. Simple, smooth, portable, with notes of strawberry, sweet, and berry, leading into a bright, heady lift.",,,,,,,
Strawberry Daiquiri,Hybrid,"Strawberry Daiquiri is a hybrid pre-roll with notes of strawberry and diesel, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Strawberry Dragon Fruit 2:1:1,,,,,,,,,
Strawberry Fritter,Hybrid,"A convenient hybrid cartridge carrying Strawberry Fritter's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, a sweet, juicy strawberry flavor, delivering an even, best-of-both-worlds feel.",,,,,,,
Strawberry Gary,Hybrid,"Strawberry Gary is a hybrid pre-roll with notes of ammonia, strawberry, and berry, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Strawberry Gelato,Hybrid,"A hybrid vape cartridge filled with Strawberry Gelato oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Smooth, discreet, and flavorful — with notes of strawberry, apricot, and berry, with a balanced head-and-body experience.",,,,,,,
Strawberry Guava,Hybrid,"Craft hybrid rosin made the clean way: Strawberry Guava squeezed under low-temp pressure to preserve every fragile terpene, full-spectrum and true to the plant. A premium solventless experience, with notes of strawberry, apricot, and tree fruit, delivering a smooth, well-rounded vibe.",,,,,,,
Strawberry Haze,,,,,,,,,
Strawberry Hibiscus,Hybrid,"A grab-and-go hybrid disposable of Strawberry Hibiscus, the simplest way to vape: flavorful, portable, and zero setup required. Simple, smooth, portable, a sweet, juicy strawberry flavor, leading into a versatile, anytime balance.",,,,,,,
Strawberry Ice,Sativa,"This sativa cartridge loads Strawberry Ice into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Smooth, discreet, and flavorful — with notes of strawberry, mint, and flowery, with an upbeat, talkative energy.",,,,,,,
Strawberry Kiwi,Hybrid,"A bold sweet, juicy strawberry infused shot — compact, flavorful, and mixed like a tiny craft cocktail for a quick edible-style experience. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced in a 1:1 ratio. Perfect for winding down at the end of the day.",,,,,,,
Strawberry Kiwi Dum Dum,Hybrid,"Classic hybrid BHO crafted from Strawberry Kiwi Dum Dum — hydrocarbon-extracted, fully purged, and dense with cannabinoids for an efficient, hard-hitting dab. Potent, clean, and lab-tested — a sweet, juicy strawberry flavor, with a versatile, anytime balance.",,,,,,,
Strawberry Kush,Hybrid,"A workhorse hybrid dab: Strawberry Kush run through a closed-loop butane extraction and finished to a smooth, high-potency concentrate. Smooth and high-potency, with notes of strawberry, sweet, and flowery, leading into a balanced head-and-body experience.",,,,,,,
Strawberry Lemon Haze,Sativa,"An all-in-one sativa disposable vape preloaded with Strawberry Lemon Haze oil — no battery to charge, no cart to screw on, just unbox, draw, and enjoy. Grab-and-go convenience, a bright, zesty lemon flavor, delivering an active, daytime spark.",,,,,,,
Strawberry Lemonade,Sativa,"This infused sativa pre-roll wraps Strawberry Lemonade flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Boosted for extra strength and more intense effects — with notes of lemon, strawberry, and rose, with an upbeat, talkative energy. A little goes a long way.",,,,,,,
strawberry lime,Hybrid,"A boutique infused beverage with tart, crisp lime notes, a refreshing finish, and the kind of flavor that makes it feel like a treat before the effects even arrive. It blends THC for a classic euphoric lift and CBD to keep things calm and balanced. For an uplifting, energetic experience.",,,,,,,
Strawberry Lobster,Hybrid,"Strawberry Lobster is a hybrid flower with a sweet, balanced earthy-fruity aroma, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Strawberry Mango Haze,Sativa,"A convenient sativa cartridge carrying Strawberry Mango Haze's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Convenient and clean, with notes of mango, strawberry, and tropical, delivering an active, daytime spark.",,,,,,,
Strawberry Milkshake,Hybrid,"Whipped hybrid badder from Strawberry Milkshake with the look and feel of cake batter — gold, creamy, and scoop-ready, agitated to coax out maximum aroma. Smooth, blond, and aromatic, with notes of strawberry, flowery, and berry, leading into an even, best-of-both-worlds feel.",,,,,,,
Strawberry Mochi,Hybrid,"This hybrid cartridge loads Strawberry Mochi into a sleek 510-thread pen for clean, convenient draws — premium oil, precise hits, zero hassle. Flavor on the go, with notes of honey, strawberry, and vanilla, leading into an even, best-of-both-worlds feel.",,,,,,,
Strawberry Pancakes,Hybrid,"A hybrid vape cartridge filled with Strawberry Pancakes oil — smooth, flavorful vapor in a discreet, no-torch, push-button format that goes wherever you go. Convenient and clean, a sweet, juicy strawberry flavor, delivering a versatile, anytime balance.",,,,,,,
strawberry pineapple,Hybrid,"A versatile tincture for customers who prefer smoke-free dosing, with precise drops and a smooth, steady cannabis experience. A subtle sweet, juicy strawberry note makes each drop a little easier to enjoy. Discreet, precise, and easy to dose.",,,,,,,
Strawberry Pineapple 1:1:1 + Maca,Hybrid,"A gourmet sweet, juicy strawberry gummy imagined with island-grown cane sugar, orchard fruit, and the kind of small-batch technique usually reserved for handmade luxury candies. It blends THC for a classic euphoric lift, CBD to keep things calm and balanced, and CBG to support daytime focus and clarity in a 1:1:1 ratio. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Strawberry Push Pop,Hybrid,"A hybrid infused joint built on Strawberry Push Pop and elevated with potent extract, blended in for an even burn and a noticeably bigger hit than flower alone. More potent than flower alone, with more intense effects — a sweet, juicy strawberry flavor, delivering a smooth, well-rounded vibe. Pace yourself.",,,,,,,
Strawberry Shortcake,Indica,"This infused indica pre-roll wraps Strawberry Shortcake flower around a concentrate boost (think kief, hash, distillate, or diamonds) for a louder aroma and a longer session. Built for a stronger, longer session and more intense effects — with notes of strawberry, vanilla, and sweet, with settle-in, melt-into-the-couch ease. A little goes a long way.",,,,,,,
Strawberry Sugar,Hybrid,"Amber hybrid shatter made from Strawberry Sugar, the classic break-apart concentrate that rewards careful purging with a flawless, glassy snap. Stable, potent, and clear, with notes of strawberry, diesel, and berry, delivering a balanced head-and-body experience.",,,,,,,
Strawberry Tsunami,Hybrid,"Soft, nostalgic chews with a caramel-shop texture, handmade-candy energy, and a smooth cannabis infusion blended right into the recipe. It blends CBD to keep things calm and balanced and THC for a classic euphoric lift in a 50:1 ratio. A dessert-style hybrid treat with the kind of flavor that makes dosing feel like a reward.",,,,,,,
Strawberry Watermelon Nectar,Hybrid,"A convenient hybrid cartridge carrying Strawberry Watermelon Nectar's character into flavorful, on-demand vapor — discreet, simple, and ready to go. Smooth, discreet, and flavorful — a sweet, juicy strawberry flavor, with a smooth, well-rounded vibe.",,,,,,,
Strawberry x Clementine,,,,,,,,,
Strawnana,Hybrid,"Effortless hybrid disposable vape of Strawnana — fully charged out of the box, dialed in for smooth flavor and total convenience. Grab-and-go convenience, a balanced, sweet-earthy profile, delivering a smooth, well-rounded vibe.",,,,,,,
Strawnana x Lem OG,,,,,,,,,
Street Treat,Hybrid,"Street Treat is a hybrid pre-roll with a sweet, balanced earthy-fruity aroma and balanced, well-rounded effects.",,,,,,,
Stuffed Cherry Zlushiez,Hybrid,"A purist's hybrid hash rosin: Stuffed Cherry Zlushiez refined first into full-melt hash, then squeezed solventless under heat and pressure for the cleanest, most flavorful dab going. Smooth, potent, and terp-heavy — a sweet, ripe cherry flavor, leading into a versatile, anytime balance.",,,,,,,
Sub Zero,Hybrid,"Sub Zero is a hybrid pre-roll with notes of mint, diesel, and grape, with smooth, well-rounded flavor. Expect balanced, well-rounded effects.",,,,,,,
Suga Berry,Hybrid,"A hybrid pre-roll of Suga Berry supercharged with concentrate — packed with flower and boosted inside, outside, or both for a stronger, slower-burning smoke. Built for a stronger, longer session and more intense effects — a sweet, ripe berry flavor, with a smooth, well-rounded vibe. A little goes a long way.",,,,,,,
Suga' Booga',Hybrid,"Suga' Booga' is a hybrid pre-roll with a pungent earthy-pine and fuel aroma with a strong, classic, relaxing feel.",,,,,,,
Sugar Berry Scone,Hybrid,"Top-shelf hybrid hash rosin, made by ice-water washing Sugar Berry Scone into bubble hash, then pressing that hash into pure, terpene-drenched oil — two crafts in one jar. The cleanest expression of the strain — with notes of butter, berry, and strawberry, with a balanced head-and-body experience.",,,,,,,
