slug,name,aliases,strain_type,lineage,dominant_terpene,aroma_notes,flavor_notes,terpenes,dominant_cannabinoid,potency_note,bud_structure,origin,summary,sources,confidence
snow bud,Snow Bud,,hybrid,,,diesel|earthy|skunk,diesel|earthy|skunk,,thc,WA flower lots test around 18% THC on average.,,,"Snow Bud is a hybrid with flavors of diesel, earthy, skunk.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
snow diesel,Snow Diesel,,hybrid,,,diesel|sweet|woody,diesel|sweet|woody,,thc,WA flower lots test around 20% THC on average.,,House Of Funk Genetics,"Snow Diesel is a hybrid with flavors of diesel, sweet, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
snow white,Snow White,,hybrid,,,citrus|earthy|woody,citrus|earthy|woody,,thc,WA flower lots test around 17% THC on average.,,,"Snow White is a hybrid with flavors of citrus, earthy, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
snow-ryder,Snow-ryder,,indica,,,earthy|mint|peppery,earthy|mint|peppery,,thc,,,,"Snow-ryder is an indica with flavors of earthy, mint, peppery.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
snowcap,Snowcap,,hybrid,,,citrus|lemon|pungent,citrus|lemon|pungent,,thc,WA flower lots test around 19% THC on average.,,,"Snowcap is a hybrid with flavors of citrus, lemon, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
snowland,Snowland,,hybrid,,,earthy|floral|lemon,earthy|floral|lemon,,thc,WA flower lots test around 20% THC on average.,,DNA Genetics,"Snowland is a hybrid with flavors of earthy, floral, lemon.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sojay-haze,Sojay-haze,,sativa,,,citrus|herbal|spicy,citrus|herbal|spicy|sweet,,thc,,,,"Sojay-haze is a sativa with flavors of citrus, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
somango,Somango,,indica,,,earthy|floral|mango,earthy|floral|mango|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Somango is an indica with flavors of earthy, floral, mango.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sonic screwdriver,Sonic Screwdriver,,sativa,,,citrus|earthy|woody,citrus|earthy|woody,,thc,WA flower lots test around 15% THC on average.,,TGA Seeds,"Sonic Screwdriver is a sativa with flavors of citrus, earthy, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sonoma coma,Sonoma Coma,,sativa,,,citrus|herbal|spicy,citrus|herbal|spicy|tropical,,thc,WA flower lots test around 24% THC on average.,,,"Sonoma Coma is a sativa with flavors of citrus, herbal, spicy.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sorcerers apprentice,Sorcerers Apprentice,,hybrid,,,sweet|tropical,sweet|tropical,,thc,WA flower lots test around 16% THC on average.,,Bodhi Seeds,"Sorcerers Apprentice is a hybrid with flavors of sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
soul assassin og,Soul Assassin Og,,hybrid,,,diesel|lemon|pungent,diesel|lemon|pungent,,thc,WA flower lots test around 19% THC on average.,,Gabriele,"Soul Assassin Og is a hybrid with flavors of diesel, lemon, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour amnesia,Sour Amnesia,,sativa,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,WA flower lots test around 21% THC on average.,,HortiLab Seeds,"Sour Amnesia is a sativa with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour ape,Sour Ape,,indica,,,citrus|diesel|skunk,citrus|diesel|skunk,,thc,WA flower lots test around 21% THC on average.,,,"Sour Ape is an indica with flavors of citrus, diesel, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour apple,Sour Apple,,hybrid,,,apple|pungent|sweet,apple|pungent|sweet,,thc,WA flower lots test around 16% THC on average.,,,"Sour Apple is a hybrid with flavors of apple, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour banana sherbet,Sour Banana Sherbet,,hybrid,,,diesel|sweet,diesel|sweet,,thc,WA flower lots test around 20% THC on average.,,Crockett Family Farms,"Sour Banana Sherbet is a hybrid with flavors of diesel, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour bubba,Sour Bubba,,indica,,,diesel|earthy|floral,diesel|earthy|floral|pine,,thc,WA flower lots test around 20% THC on average.,,Riot Seeds,"Sour Bubba is an indica with flavors of diesel, earthy, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour bubble,Sour Bubble,,indica,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,WA flower lots test around 16% THC on average.,,,"Sour Bubble is an indica with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour candy,Sour Candy,,hybrid,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,WA flower lots test around 18% THC on average.,,G13 Labs,"Sour Candy is a hybrid with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour chees,Sour Chees,,hybrid,,,cheese|citrus|pungent,cheese|citrus|pungent,,thc,WA flower lots test around 21% THC on average.,,,"Sour Chees is a hybrid with flavors of cheese, citrus, pungent.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour cookies,Sour Cookies,,hybrid,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,WA flower lots test around 22% THC on average.,,,"Sour Cookies is a hybrid with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour cream,Sour Cream,,hybrid,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,WA flower lots test around 19% THC on average.,,DNA Genetics,"Sour Cream is a hybrid with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour dream,Sour Dream,,hybrid,,,blueberry|diesel|earthy,blueberry|diesel|earthy,,thc,WA flower lots test around 20% THC on average.,,,"Sour Dream is a hybrid with flavors of blueberry, diesel, earthy.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour dubble,Sour Dubble,,hybrid,,,diesel|floral|pungent,diesel|floral|pungent,,thc,,,B.O.G. Seeds,"Sour Dubble is a hybrid with flavors of diesel, floral, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
sour grape,Sour Grape,,hybrid,,,berry|grape|sweet,berry|grape|sweet,,thc,WA flower lots test around 19% THC on average.,,Quick Silver,"Sour Grape is a hybrid with flavors of berry, grape, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour grapes,Sour Grapes,,hybrid,,,berry|grape|sweet,berry|grape|sweet,,thc,WA flower lots test around 17% THC on average.,,Apothecary Seed Company,"Sour Grapes is a hybrid with flavors of berry, grape, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour haze,Sour Haze,,sativa,,,citrus|lemon|pungent,citrus|lemon|pungent|skunk|sweet,,thc,WA flower lots test around 22% THC on average.,,,"Sour Haze is a sativa with flavors of citrus, lemon, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour headband,Sour Headband,,hybrid,,,diesel|pungent|skunk,diesel|pungent|skunk,,thc,WA flower lots test around 22% THC on average.,,Loud Seeds,"Sour Headband is a hybrid with flavors of diesel, pungent, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour jack,Sour Jack,,sativa,,,citrus|sweet|tropical,citrus|sweet|tropical,,thc,WA flower lots test around 15% THC on average.,,Karma Genetics,"Sour Jack is a sativa with flavors of citrus, sweet, tropical.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour lemon og,Sour Lemon Og,,hybrid,,,citrus|earthy|lemon,citrus|earthy|lemon,,thc,WA flower lots test around 17% THC on average.,,Emerald Triangle,"Sour Lemon Og is a hybrid with flavors of citrus, earthy, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour lsd,Sour Lsd,,hybrid,,,citrus|earthy|pungent,citrus|earthy|pungent,,thc,WA flower lots test around 19% THC on average.,,B.O.G. Seeds,"Sour Lsd is a hybrid with flavors of citrus, earthy, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour maui,Sour Maui,,sativa,,,citrus|earthy|lemon,citrus|earthy|lemon|nutty,,thc,WA flower lots test around 20% THC on average.,,,"Sour Maui is a sativa with flavors of citrus, earthy, lemon.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour patch kiss,Sour Patch Kiss,,hybrid,,,citrus|earthy|floral,citrus|earthy|floral,,thc,WA flower lots test around 18% THC on average.,,Elev8 Seeds,"Sour Patch Kiss is a hybrid with flavors of citrus, earthy, floral.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour pebbles,Sour Pebbles,,sativa,,,berry|citrus|sweet,berry|citrus|sweet,,thc,WA flower lots test around 20% THC on average.,,,"Sour Pebbles is a sativa with flavors of berry, citrus, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour power,Sour Power,,hybrid,,,diesel|pungent|skunk,diesel|pungent|skunk,,thc,WA flower lots test around 23% THC on average.,,HortiLab Seeds,"Sour Power is a hybrid with flavors of diesel, pungent, skunk.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour sunset,Sour Sunset,,hybrid,,,citrus|diesel|sweet,citrus|diesel|sweet,,thc,,,Crockett Family Farms,"Sour Sunset is a hybrid with flavors of citrus, diesel, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
sour urkle,Sour Urkle,,hybrid,,,diesel|earthy|floral,diesel|earthy|floral,,thc,WA flower lots test around 16% THC on average.,,,"Sour Urkle is a hybrid with flavors of diesel, earthy, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
sour-breath,Sour-breath,,sativa,,,apricot|diesel|pine,apricot|diesel|pine,,thc,,,,"Sour-breath is a sativa with flavors of apricot, diesel, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-chocolate,Sour-chocolate,,sativa,,,diesel|earthy|sweet,diesel|earthy|sweet,,thc,,,,"Sour-chocolate is a sativa with flavors of diesel, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-chunk,Sour-chunk,,hybrid,,,earthy|citrus|sweet,earthy|citrus|sweet,,thc,,,,"Sour-chunk is a hybrid with flavors of earthy, citrus, sweet.",The Cannabis API (Piyush-Bhor),0.65
sour-flower,Sour-flower,,sativa,,,berry|earthy|pine,berry|earthy|pine|sweet,,thc,,,Joe Clone,"Sour-flower is a sativa with flavors of berry, earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-jilly,Sour-jilly,,hybrid,,,berry|citrus|sweet,berry|citrus|sweet,,thc,,,,"Sour-jilly is a hybrid with flavors of berry, citrus, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-joker,Sour-joker,,sativa,,,citrus|earthy|pungent,citrus|earthy|pungent,,thc,,,HortiLab Seeds,"Sour-joker is a sativa with flavors of citrus, earthy, pungent.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-poison,Sour-poison,,sativa,,,citrus|earthy|pine,citrus|earthy|pine,,thc,,,,"Sour-poison is a sativa with flavors of citrus, earthy, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-spyder,Sour-spyder,,indica,,,pungent|citrus|coffee,pungent|citrus|coffee,,thc,,,,"Sour-spyder is an indica with flavors of pungent, citrus, coffee.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-star-head,Sour-star-head,,sativa,,,citrus|herbal|spicy,citrus|herbal|spicy|sweet,,thc,,,,"Sour-star-head is a sativa with flavors of citrus, herbal, spicy.",The Cannabis API (Piyush-Bhor),0.65
sour-strawberry-diesel,Sour-strawberry-diesel,,hybrid,,,diesel|strawberry|sweet,diesel|strawberry|sweet,,thc,,,MTG Seeds,"Sour-strawberry-diesel is a hybrid with flavors of diesel, strawberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sour-willie,Sour-willie,,sativa,,,diesel|pungent|sweet,diesel|pungent|sweet,,thc,,,,"Sour-willie is a sativa with flavors of diesel, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
sourlope,Sourlope,,sativa,,,pungent|sweet|tropical,pungent|sweet|tropical,,thc,WA flower lots test around 18% THC on average.,,DNA Genetics,"Sourlope is a sativa with flavors of pungent, sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
south american,South American,,sativa,,,earthy|mango|pine,earthy|mango|pine|tropical,,thc,WA flower lots test around 21% THC on average.,,,"South American is a sativa with flavors of earthy, mango, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
south indian sativa,South Indian Sativa,,sativa,,,earthy|skunk,earthy|skunk,,thc,,,,"South Indian Sativa is a sativa with flavors of earthy, skunk.",Kushy cannabis-dataset,0.65
south-central-la,South-central-la,,indica,,,berry|blueberry|sweet,berry|blueberry|sweet,,thc,,,,"South-central-la is an indica with flavors of berry, blueberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
south-indian,South-indian,,sativa,,,mango|skunk|sweet,mango|skunk|sweet,,thc,,,,"South-indian is a sativa with flavors of mango, skunk, sweet.",The Cannabis API (Piyush-Bhor),0.65
space bomb,Space Bomb,,hybrid,,,berry|earthy|floral,berry|earthy|floral,,thc,WA flower lots test around 15% THC on average.,,TGA Seeds,"Space Bomb is a hybrid with flavors of berry, earthy, floral.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
space cream,Space Cream,,hybrid,,,citrus|pine|sweet,citrus|pine|sweet,,thc,WA flower lots test around 21% THC on average.,,,"Space Cream is a hybrid with flavors of citrus, pine, sweet.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
space dog,Space Dog,,hybrid,,humulene,hoppy|earthy|woody,,humulene,thc,,,,Space Dog is a hybrid with Humulene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
space-monster,Space-monster,,indica,,,pungent|diesel|herbal,pungent|diesel|herbal|spicy,,thc,,,MTG Seeds,"Space-monster is an indica with flavors of pungent, diesel, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
special k,Special K,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,WA flower lots test around 18% THC on average.,,Sagarmatha Seeds,"Special K is a hybrid with flavors of citrus, earthy, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
special kush 1,Special Kush 1,,indica,,,earthy|pungent|sweet,earthy|pungent|sweet,,thc,WA flower lots test around 13% THC on average.,,Royal Queen,"Special Kush 1 is an indica with flavors of earthy, pungent, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
spirit-of-76,Spirit-of-76,,hybrid,,,floral|pine|woody,floral|pine|woody,,thc,,,,"Spirit-of-76 is a hybrid with flavors of floral, pine, woody.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
spliffs-strawberry,Spliffs-strawberry,,sativa,,,berry|strawberry|sweet,berry|strawberry|sweet,,thc,,,,"Spliffs-strawberry is a sativa with flavors of berry, strawberry, sweet.",The Cannabis API (Piyush-Bhor),0.65
sputnik,Sputnik,,sativa,,,floral|sweet|herbal,floral|sweet|herbal,,thc,,,,"Sputnik is a sativa with flavors of floral, sweet, herbal.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
spyder-mon,Spyder-mon,,hybrid,,,citrus|earthy|sweet,citrus|earthy|sweet,,thc,,,,"Spyder-mon is a hybrid with flavors of citrus, earthy, sweet.",The Cannabis API (Piyush-Bhor),0.65
star 47,Star 47,,hybrid,,,berry|earthy|herbal,berry|earthy|herbal|spicy,,thc,WA flower lots test around 20% THC on average.,,,"Star 47 is a hybrid with flavors of berry, earthy, herbal.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
star berry,Star Berry,,indica,,,berry|citrus|sweet,berry|citrus|sweet,,thc,WA flower lots test around 18% THC on average.,,CannaVenture,"Star Berry is an indica with flavors of berry, citrus, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
star berry indica,Star Berry Indica,,indica,,,berry|citrus|lemon,berry|citrus|lemon,,thc,,,,"Star Berry Indica is an indica with flavors of berry, citrus, lemon.",Kushy cannabis-dataset,0.65
star killer,Star Killer,,indica,,,earthy|lemon|pungent,earthy|lemon|pungent,,thc,WA flower lots test around 23% THC on average.,,Rare Dankness Seeds,"Star Killer is an indica with flavors of earthy, lemon, pungent.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
star master kush,Star Master Kush,,indica,,,earthy|pine|skunk,earthy|pine|skunk,,thc,WA flower lots test around 20% THC on average.,,,"Star Master Kush is an indica with flavors of earthy, pine, skunk.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
star tonic,Star Tonic,,hybrid,,,citrus|lemon|sweet,citrus|lemon|sweet,,thc,,,,"Star Tonic is a hybrid with flavors of citrus, lemon, sweet.",Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor),0.65
star trek,Star Trek,,hybrid,,myrcene,earthy|musky|herbal|peppery,,myrcene|caryophyllene|humulene,thc,,,,Star Trek is a hybrid with Myrcene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
starbud,Starbud,,indica,,,earthy|grape|mint,earthy|grape|mint|pine,,thc,WA flower lots test around 20% THC on average.,,HortiLab Seeds,"Starbud is an indica with flavors of earthy, grape, mint.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
stardawg guava,Stardawg Guava,,sativa,,,pungent|sweet|tropical,pungent|sweet|tropical,,thc,WA flower lots test around 22% THC on average.,,,"Stardawg Guava is a sativa with flavors of pungent, sweet, tropical.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
stardawg-91,Stardawg-91,,indica,,,diesel|earthy|peppery,diesel|earthy|peppery,,thc,,,,"Stardawg-91 is an indica with flavors of diesel, earthy, peppery.",The Cannabis API (Piyush-Bhor),0.65
starfighter,Starfighter,,hybrid,,,pine|pungent|woody,pine|pungent|woody,,thc,WA flower lots test around 20% THC on average.,,Alien Genetics,"Starfighter is a hybrid with flavors of pine, pungent, woody.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
starry night,Starry Night,,hybrid,,,berry|earthy|pungent,berry|earthy|pungent,,thc,WA flower lots test around 20% THC on average.,,,"Starry Night is a hybrid with flavors of berry, earthy, pungent.",The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
stella blue,Stella Blue,,sativa,,,berry|floral|sweet,berry|floral|sweet,,thc,WA flower lots test around 21% THC on average.,,,"Stella Blue is a sativa with flavors of berry, floral, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
stevie-wonder,Stevie-wonder,,hybrid,,,earthy|orange|pine,earthy|orange|pine,,thc,,,Bodhi Seeds,"Stevie-wonder is a hybrid with flavors of earthy, orange, pine.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor),0.65
stoney starfighter,Stoney Starfighter,,hybrid,,caryophyllene,peppery|spicy|woody|hoppy,,caryophyllene|humulene,thc,,,,Stoney Starfighter is a hybrid with Caryophyllene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
straight-as-haze,Straight-as-haze,,sativa,,,citrus|herbal|spicy,citrus|herbal|spicy|sweet,,thc,,,,"Straight-as-haze is a sativa with flavors of citrus, herbal, spicy.",The Cannabis API (Piyush-Bhor),0.65
strawberry,Strawberry,,sativa,,,berry|floral|strawberry,berry|floral|strawberry|sweet,,thc,WA flower lots test around 16% THC on average.,,,"Strawberry is a sativa with flavors of berry, floral, strawberry.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry amnesia,Strawberry Amnesia,,sativa,,,earthy|strawberry|sweet,earthy|strawberry|sweet,,thc,WA flower lots test around 13% THC on average.,,,"Strawberry Amnesia is a sativa with flavors of earthy, strawberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry blue,Strawberry Blue,,sativa,,,berry|strawberry|sweet,berry|strawberry|sweet,,thc,WA flower lots test around 20% THC on average.,,World Of Seeds Bank,"Strawberry Blue is a sativa with flavors of berry, strawberry, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry cheesecake,Strawberry Cheesecake,,indica,,,cheese|strawberry|sweet,cheese|strawberry|sweet,,thc,WA flower lots test around 22% THC on average.,,Heavyweight Seeds,"Strawberry Cheesecake is an indica with flavors of cheese, strawberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry daquiri,Strawberry Daquiri,,hybrid,,terpinolene,herbal|piney|floral|pine,,terpinolene|pinene|myrcene,thc,,,,Strawberry Daquiri is a hybrid with Terpinolene-forward terpene profile.,Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser),0.65
strawberry dream,Strawberry Dream,,hybrid,,,berry|strawberry|sweet,berry|strawberry|sweet,,thc,WA flower lots test around 18% THC on average.,,Infinity Seeds,"Strawberry Dream is a hybrid with flavors of berry, strawberry, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry frost,Strawberry Frost,,indica,,,earthy|strawberry|sweet,earthy|strawberry|sweet,,thc,WA flower lots test around 24% THC on average.,,,"Strawberry Frost is an indica with flavors of earthy, strawberry, sweet.",Kushy cannabis-dataset|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
strawberry ice,Strawberry Ice,,sativa,,,berry|strawberry|sweet,berry|strawberry|sweet,,thc,WA flower lots test around 18% THC on average.,,,"Strawberry Ice is a sativa with flavors of berry, strawberry, sweet.",Kushy cannabis-dataset|Lab terpene assays (analytical360/sclabs/psilabs via Terpene-Profile-Parser)|The Cannabis API (Piyush-Bhor)|WA I-502 state lab tests (dolthub/cannabis-testing-wa),0.65
